stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score
5483,中美晶,131.5,2.09,5.62,13.01,37.75,65.8,9,9.2,8587131.0,-1950892.0,13334697.0,-1280001.0,True,True,48.13,78.29,61.7
5443,均豪,119.5,1.53,4.82,13.19,21.05,70.4,2,64.0,3300030.0,0.0,3708020.0,0.0,True,True,25.08,79.89,49.74
4772,台特化,327.0,1.45,6.0,7.47,13.59,60.7,2,289.7,493020.0,0.0,-39920.0,-699.0,True,True,20.21,85.34,49.52
5347,世界,139.0,1.94,5.3,15.22,99.06,63.4,2,7.3,8737304.0,2415713.0,7933629.0,1857912.0,True,True,28.41,72.81,48.39
3551,世禾,209.5,1.56,5.81,16.24,10.85,67.5,2,13.0,159100.0,8000.0,95250.0,12000.0,True,True,29.14,70.39,47.7
7402,邑錡,133.5,1.73,6.37,11.04,2.58,65.5,1,-12.9,82020.0,0.0,52020.0,0.0,True,True,21.69,76.67,46.43
5904,寶雅,519.0,1.44,1.76,2.46,2.9,63.8,3,20.6,176702.0,36000.0,261979.0,40000.0,True,True,14.28,75.65,41.9
6121,新普,356.0,1.23,2.15,2.56,2.33,59.2,2,4.6,143430.0,-88001.0,242555.0,-298376.0,True,True,11.25,74.45,39.69
6190,萬泰科,63.9,1.17,1.91,13.96,6.44,63.2,4,11.9,177000.0,0.0,829000.0,0.0,True,True,28.58,52.0,39.12
5452,佶優,35.9,2.37,5.12,5.48,3.18,57.7,1,-13.6,442001.0,0.0,374001.0,0.0,True,True,16.22,58.86,35.41
7728,光焱科技,800.0,1.45,-1.84,4.22,5.51,52.0,2,-18.5,30000.0,0.0,46080.0,0.0,False,True,0.0,75.55,34.0
8255,朋程,132.5,1.31,0.76,5.53,0.91,61.0,3,-2.0,149000.0,0.0,492000.0,0.0,False,True,0.0,75.03,33.76
6138,茂達,232.5,1.22,1.53,4.34,1.0,60.2,2,16.4,46000.0,-2000.0,38000.0,-9000.0,False,True,0.0,74.72,33.62
5309,系統電,60.2,1.15,2.38,2.25,3.27,53.3,1,-6.0,1324000.0,0.0,1523010.0,-10000.0,False,True,0.0,74.39,33.48
5371,中光電,79.0,1.18,0.89,3.12,5.5,54.5,1,7.8,398750.0,0.0,-1299805.0,963000.0,False,True,0.0,74.11,33.35
3707,漢磊,57.9,1.14,3.02,5.3,5.65,58.0,3,22.3,536000.0,0.0,1400000.0,0.0,False,True,0.0,73.99,33.3
6667,信紘科,294.0,1.34,1.91,16.16,9.55,75.6,2,41.3,221970.0,0.0,403970.0,0.0,False,True,0.0,73.91,33.26
3529,力旺,4385.0,1.19,7.61,51.25,59.2,83.9,7,30.4,-177277.0,198025.0,-105788.0,554886.0,True,False,54.74,0.0,30.11
3663,鑫科,73.2,1.41,4.13,2.8,3.42,55.9,2,64.6,171000.0,0.0,-432970.0,0.0,False,True,0.0,58.46,26.31
4991,環宇-KY,724.0,0.3,9.7,58.64,6.54,82.5,6,40.0,43071.0,39200.0,138906.0,66200.0,True,False,47.29,0.0,26.01
5439,高技,441.5,0.57,9.96,42.85,28.57,79.7,10,60.3,631972.0,768000.0,1712617.0,1232931.0,True,False,45.9,0.0,25.25
8069,元太,158.0,1.04,1.94,6.5,8.54,56.7,12,1.3,887416.0,189295.0,2719743.0,358597.0,True,False,45.19,0.0,24.85
