stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score,past_42d_pct
6548,長科*,91.6,1.82,1.1,8.91,21.13,61.3,8,36.7,-647775.0,2071000.0,-522201.0,3347000.0,True,True,37.02,59.82,47.28,73.2
6274,台燿,1790.0,1.4,5.92,8.81,139.85,59.7,4,124.4,64622.0,233657.0,-769782.0,527235.0,True,True,28.22,62.51,43.65,46.7
3264,欣銓,247.0,1.24,-0.8,8.69,25.83,59.5,4,33.0,1731741.0,-47977.0,7518315.0,-1492858.0,True,True,21.56,56.47,37.27,4.9
3088,艾訊,146.5,1.4,2.81,4.24,2.07,59.3,2,49.0,601890.0,0.0,317320.0,0.0,True,True,14.56,58.22,34.21,26.3
6175,立敦,115.0,1.14,5.02,10.34,10.62,60.4,1,25.0,1197633.0,0.0,1057107.0,0.0,True,True,19.21,52.18,34.05,76.9
6788,華景電,445.0,1.22,1.14,3.36,3.96,53.7,1,25.0,145973.0,2000.0,207389.0,3000.0,False,True,0.0,74.56,33.55,0.7
6104,創惟,105.0,1.21,0.48,3.38,2.01,55.0,5,1.7,15070.0,0.0,819736.0,5000.0,False,True,0.0,74.17,33.38,6.7
8289,泰藝,65.6,1.35,5.47,-1.43,4.17,54.8,1,0.2,36100.0,0.0,243421.0,0.0,False,True,0.0,53.34,24.0,32.9
3162,精確,85.1,1.19,0.35,1.83,1.28,55.2,2,21.9,231795.0,0.0,928991.0,0.0,False,True,0.0,52.07,23.43,2.5
8091,翔名,293.5,1.05,2.44,12.51,5.06,64.1,6,82.2,94291.0,0.0,636097.0,-31671.0,True,False,34.17,0.0,18.79,53.7
8182,加高,59.0,1.5,6.69,19.36,13.41,65.5,1,0.1,202666.0,0.0,881599.0,0.0,True,False,30.77,0.0,16.92,46.6
6223,旺矽,7380.0,0.63,1.72,17.37,45.62,65.4,3,57.8,39915.0,54191.0,336748.0,248986.0,True,False,28.41,0.0,15.63,47.6
6138,茂達,400.0,1.82,-4.42,16.03,36.71,62.0,4,15.4,-322526.0,3000.0,-674936.0,36000.0,True,False,26.99,0.0,14.84,59.0
8096,擎亞,157.5,1.33,2.94,13.27,3.45,64.8,0,154.5,-266000.0,0.0,-709015.0,0.0,False,True,0.0,32.36,14.56,63.7
5371,中光電,93.1,1.06,9.92,24.83,37.07,71.1,1,6.1,6013279.0,0.0,2283206.0,9000.0,True,False,26.38,0.0,14.51,25.3
8069,元太,212.5,0.69,3.41,1.62,21.87,56.0,6,1.0,-189828.0,1815948.0,-5972898.0,4961317.0,True,False,23.15,0.0,12.73,52.3
8043,蜜望實,202.5,1.38,2.79,11.75,53.3,58.5,0,59.6,-1175301.0,0.0,-1699359.0,0.0,False,True,0.0,27.55,12.4,113.2
8383,千附,66.0,1.29,4.93,8.52,2.05,60.2,2,46.1,861526.0,0.0,295937.0,0.0,True,False,20.64,0.0,11.35,3.0
3221,台嘉碩,66.3,1.39,3.59,11.74,20.74,65.1,0,14.7,-116056.0,0.0,783984.0,0.0,False,True,0.0,22.98,10.34,49.3
3707,漢磊,91.0,1.3,3.76,9.64,30.1,57.4,1,28.0,1564197.0,0.0,-4132382.0,0.0,True,False,17.68,0.0,9.72,20.5
4939,亞電,63.7,0.67,3.92,7.48,3.41,58.6,2,21.2,783198.0,0.0,503997.0,0.0,True,False,17.33,0.0,9.53,45.1
6208,日揚,96.8,0.79,3.64,4.54,1.15,53.5,2,12.4,16011.0,0.0,14101.0,0.0,True,False,14.32,0.0,7.88,16.2
4760,勤凱,346.5,1.69,6.45,-8.4,3.98,48.9,1,64.8,43549.0,0.0,-98310.0,0.0,True,False,2.52,0.0,1.39,42.0
