stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score
2327,國巨,303.5,2.44,6.49,14.72,299.07,65.3,6,22.8,22704224,2030534,56494442,1768105,TRUE,TRUE,58.98,84.92,72.47
2492,華新科,136,2.06,5.84,6.37,26.83,57.4,7,11.1,-241150,101000,1086657,109000,TRUE,TRUE,51.66,78.33,65.53
3406,玉晶光,481,2.39,5.6,9.75,7.86,66.7,4,14.3,460641,4000,719131,-2146,TRUE,TRUE,41.85,80.15,61.77
3090,日電貿,103.5,2.02,3.5,10.02,12.42,62.9,4,34.1,708057,-24455,4415957,-55248,TRUE,TRUE,38.94,82.4,61.54
6706,惠特,141.5,1.86,1.07,14.71,21.41,62.2,4,-59.6,1216570,0,3222797,-505,TRUE,TRUE,41.84,76.99,60.12
3008,大立光,2430,1.76,5.19,5.9,33.05,61.2,5,10.8,420671,-21218,924336,-30318,TRUE,TRUE,39.68,75.98,58.56
3702,大聯大,96.6,1.76,5.57,14.08,24.96,71.3,6,28.6,4426993,-3841000,13219728,-5172000,TRUE,TRUE,55.24,59.48,57.44
2329,華泰,58.6,2.25,8.32,9.57,25.11,58.7,2,10.1,7123951,-43000,6043285,-95000,TRUE,TRUE,34.22,71.46,53.58
1590,亞德客-KY,1095,1.84,-1.79,6.53,23.77,58.3,1,18.1,36453,-6169,199966,-33338,TRUE,TRUE,13.82,80.93,48.72
4739,康普,88.5,1.86,4.61,12.32,6.04,64.1,1,103.6,510450,-4000,517449,-17000,TRUE,TRUE,27.76,64.76,47
2495,普安,39.4,1.54,6.92,16.94,5.57,64.9,2,61,2221571,-25000,1133672,-54000,TRUE,TRUE,39.92,45.39,42.76
2449,京元電子,295,2.02,6.31,2.67,116.44,53.7,1,36.1,-2567394,1197446,-2798617,-2797612,TRUE,TRUE,17.89,51.99,35.62
1727,中華化,58.4,2.64,4.85,13.92,12.37,65.6,0,53.2,-602673,-10000,407327,-22000,FALSE,TRUE,0,55.84,29.04
6691,洋基工程,624,1.68,-0.95,2.81,7.83,56.6,0,112.7,-12779,-17000,480669,-35893,FALSE,TRUE,0,54.3,28.24
3305,昇貿,119,1.88,2.15,12.36,12.86,62.4,0,72.7,-1335046,0,-154047,0,FALSE,TRUE,0,50.91,26.47
9904,寶成,28,2.17,-1.41,-3.43,6.16,37,1,-11.1,-6565896,263722,-16641229,53440,FALSE,TRUE,0,48.24,25.08
4566,時碩工業,71.2,2.83,6.43,21.79,6.11,70.7,0,12.6,-1158000,0,-75060,0,FALSE,TRUE,0,21.07,10.96
1528,恩德,27.35,0.61,0.55,14.8,4.87,61.8,1,30.9,974701,-14000,1122766,-30000,FALSE,FALSE,0,0,0
1711,永光,42.55,0.75,9.95,21.53,12.56,64.6,1,28.2,409900,0,4123170,26000,FALSE,FALSE,0,0,0
1717,長興,80.7,1.37,0.88,26.49,121.5,72.5,1,5.4,-3862041,253512,11292396,-7536976,FALSE,FALSE,0,0,0
1605,華新,31.6,0.59,-0.16,-0.64,3.6,47.3,1,2.5,-273842,25724,1761218,-72339,FALSE,FALSE,0,0,0
