stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score,past_42d_pct
3045,台灣大,115.0,1.66,2.68,3.52,23.22,71.8,9,1.8,13086457.0,563000.0,16872542.0,-588757.0,True,True,53.82,76.44,65.58,8.5
3406,玉晶光,560.0,2.59,8.53,11.05,28.54,66.3,2,24.8,786005.0,-40000.0,829167.0,-122000.0,True,True,37.45,77.58,58.32,33.2
6515,穎崴,10540.0,1.51,6.73,10.2,52.83,62.3,6,50.5,28780.0,85000.0,149528.0,8790.0,True,True,51.14,49.77,50.43,66.5
2337,旺宏,169.0,1.57,0.6,14.2,544.18,59.5,2,153.7,-1827927.0,542000.0,25392716.0,3754000.0,True,True,30.29,61.9,46.73,70.7
3645,達邁,112.0,2.04,3.23,14.97,37.04,65.0,1,16.4,799200.0,0.0,-1108304.0,-8000.0,True,True,30.37,60.92,46.26,39.7
2412,中華電,137.5,1.52,0.0,1.17,24.06,59.4,2,7.6,2909163.0,-73000.0,7010287.0,1566221.0,True,True,13.41,75.39,45.64,1.1
8261,富鼎,136.0,1.95,3.03,13.77,25.19,67.8,2,5.3,4313327.0,0.0,4546097.0,4000.0,True,True,33.34,55.96,45.1,34.7
2485,兆赫,70.7,1.82,5.21,1.21,48.59,54.6,3,38.3,7180511.0,0.0,7445740.0,-21000.0,True,True,24.6,58.95,42.46,16.3
2606,裕民,64.6,1.72,0.47,3.69,9.02,59.1,10,38.7,6669000.0,-6207000.0,13813712.0,-12680000.0,False,True,0.0,80.72,41.97,7.5
2441,超豐,101.0,1.71,3.8,10.28,29.44,62.8,0,13.2,-1654333.0,-362000.0,-7565186.0,-793000.0,False,True,0.0,46.21,24.03,18.3
8926,台汽電,57.6,1.77,1.59,23.85,13.09,83.8,3,532.8,2249320.0,-4000.0,6481405.0,-7000.0,True,False,40.68,0.0,19.53,25.5
4912,聯德控股-KY,104.5,1.78,0.0,17.83,3.79,73.8,2,30.4,280000.0,0.0,874218.0,0.0,True,False,34.74,0.0,16.68,21.8
2027,大成鋼,39.8,1.55,4.46,4.7,22.92,60.6,1,37.7,34683783.0,-905000.0,30728220.0,-6121000.0,True,False,17.58,0.0,8.44,8.0
